antecedent,consequent,support_count,support,confidence,lift
llm_calls:1-2,cache_tokens:available | status:success,21,0.3333333333333333,1.0,1.5
llm_calls:1-2 | timeout:false,cache_tokens:available,21,0.3333333333333333,1.0,1.5
llm_calls:1-2,cache_tokens:available | timeout:false,21,0.3333333333333333,1.0,1.5
llm_calls:1-2 | token_total:>=10k,cache_tokens:available,21,0.3333333333333333,1.0,1.5
llm_calls:1-2,cache_tokens:available | token_total:>=10k,21,0.3333333333333333,1.0,1.5
llm_calls:1-2 | tokens:available,cache_tokens:available,21,0.3333333333333333,1.0,1.5
llm_calls:1-2,cache_tokens:available | tokens:available,21,0.3333333333333333,1.0,1.5
elapsed:1-5m | harness:codex,cache_tokens:available,14,0.2222222222222222,1.0,1.5
elapsed:1-5m | llm_calls:1-2,cache_tokens:available,14,0.2222222222222222,1.0,1.5
harness:bdi,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
archived_files:3-5 | harness:bdi,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
harness:bdi,archived_files:3-5 | elapsed:1-5m,21,0.3333333333333333,1.0,1.26
cache_tokens:available | harness:bdi,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
deliverables:present | harness:bdi,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
harness:bdi,deliverables:present | elapsed:1-5m,21,0.3333333333333333,1.0,1.26
harness:bdi | status:success,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
harness:bdi,elapsed:1-5m | status:success,21,0.3333333333333333,1.0,1.26
harness:bdi | timeout:false,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
harness:bdi,elapsed:1-5m | timeout:false,21,0.3333333333333333,1.0,1.26
harness:bdi | token_total:>=10k,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
harness:bdi,elapsed:1-5m | token_total:>=10k,21,0.3333333333333333,1.0,1.26
harness:bdi | tokens:available,elapsed:1-5m,21,0.3333333333333333,1.0,1.26
harness:bdi,elapsed:1-5m | tokens:available,21,0.3333333333333333,1.0,1.26
elapsed:1-5m,cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
archived_files:3-5 | elapsed:1-5m,cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m,archived_files:3-5 | cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
deliverables:present | elapsed:1-5m,cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m,cache_tokens:available | deliverables:present,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m | status:success,cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m,cache_tokens:available | status:success,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m | timeout:false,cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m,cache_tokens:available | timeout:false,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m | token_total:>=10k,cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m,cache_tokens:available | token_total:>=10k,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m | tokens:available,cache_tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
elapsed:1-5m,cache_tokens:available | tokens:available,35,0.5555555555555556,0.7000000000000001,1.0500000000000003
cache_tokens:available,elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
archived_files:3-5 | cache_tokens:available,elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available,archived_files:3-5 | elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available | deliverables:present,elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available,deliverables:present | elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available | status:success,elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available,elapsed:1-5m | status:success,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available | timeout:false,elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available,elapsed:1-5m | timeout:false,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available | token_total:>=10k,elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available,elapsed:1-5m | token_total:>=10k,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available | tokens:available,elapsed:1-5m,35,0.5555555555555556,0.8333333333333334,1.05
cache_tokens:available,elapsed:1-5m | tokens:available,35,0.5555555555555556,0.8333333333333334,1.05
deliverables:present,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5,deliverables:present,63,1.0,1.0,1.0
status:success,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5,status:success,63,1.0,1.0,1.0
timeout:false,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5,timeout:false,63,1.0,1.0,1.0
archived_files:3-5,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5,tokens:available,63,1.0,1.0,1.0
tokens:available,archived_files:3-5,63,1.0,1.0,1.0
status:success,deliverables:present,63,1.0,1.0,1.0
deliverables:present,status:success,63,1.0,1.0,1.0
timeout:false,deliverables:present,63,1.0,1.0,1.0
deliverables:present,timeout:false,63,1.0,1.0,1.0
deliverables:present,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,deliverables:present,63,1.0,1.0,1.0
deliverables:present,tokens:available,63,1.0,1.0,1.0
tokens:available,deliverables:present,63,1.0,1.0,1.0
status:success,timeout:false,63,1.0,1.0,1.0
timeout:false,status:success,63,1.0,1.0,1.0
status:success,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,status:success,63,1.0,1.0,1.0
status:success,tokens:available,63,1.0,1.0,1.0
tokens:available,status:success,63,1.0,1.0,1.0
timeout:false,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,timeout:false,63,1.0,1.0,1.0
timeout:false,tokens:available,63,1.0,1.0,1.0
tokens:available,timeout:false,63,1.0,1.0,1.0
token_total:>=10k,tokens:available,63,1.0,1.0,1.0
tokens:available,token_total:>=10k,63,1.0,1.0,1.0
deliverables:present | status:success,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | status:success,deliverables:present,63,1.0,1.0,1.0
archived_files:3-5 | deliverables:present,status:success,63,1.0,1.0,1.0
status:success,archived_files:3-5 | deliverables:present,63,1.0,1.0,1.0
deliverables:present,archived_files:3-5 | status:success,63,1.0,1.0,1.0
archived_files:3-5,deliverables:present | status:success,63,1.0,1.0,1.0
deliverables:present | timeout:false,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | timeout:false,deliverables:present,63,1.0,1.0,1.0
archived_files:3-5 | deliverables:present,timeout:false,63,1.0,1.0,1.0
timeout:false,archived_files:3-5 | deliverables:present,63,1.0,1.0,1.0
deliverables:present,archived_files:3-5 | timeout:false,63,1.0,1.0,1.0
archived_files:3-5,deliverables:present | timeout:false,63,1.0,1.0,1.0
archived_files:3-5 | deliverables:present,token_total:>=10k,63,1.0,1.0,1.0
deliverables:present | token_total:>=10k,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | token_total:>=10k,deliverables:present,63,1.0,1.0,1.0
deliverables:present,archived_files:3-5 | token_total:>=10k,63,1.0,1.0,1.0
archived_files:3-5,deliverables:present | token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,archived_files:3-5 | deliverables:present,63,1.0,1.0,1.0
archived_files:3-5 | deliverables:present,tokens:available,63,1.0,1.0,1.0
deliverables:present | tokens:available,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | tokens:available,deliverables:present,63,1.0,1.0,1.0
deliverables:present,archived_files:3-5 | tokens:available,63,1.0,1.0,1.0
archived_files:3-5,deliverables:present | tokens:available,63,1.0,1.0,1.0
tokens:available,archived_files:3-5 | deliverables:present,63,1.0,1.0,1.0
status:success | timeout:false,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | status:success,timeout:false,63,1.0,1.0,1.0
archived_files:3-5 | timeout:false,status:success,63,1.0,1.0,1.0
status:success,archived_files:3-5 | timeout:false,63,1.0,1.0,1.0
timeout:false,archived_files:3-5 | status:success,63,1.0,1.0,1.0
archived_files:3-5,status:success | timeout:false,63,1.0,1.0,1.0
archived_files:3-5 | status:success,token_total:>=10k,63,1.0,1.0,1.0
status:success | token_total:>=10k,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | token_total:>=10k,status:success,63,1.0,1.0,1.0
status:success,archived_files:3-5 | token_total:>=10k,63,1.0,1.0,1.0
archived_files:3-5,status:success | token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,archived_files:3-5 | status:success,63,1.0,1.0,1.0
archived_files:3-5 | status:success,tokens:available,63,1.0,1.0,1.0
status:success | tokens:available,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | tokens:available,status:success,63,1.0,1.0,1.0
status:success,archived_files:3-5 | tokens:available,63,1.0,1.0,1.0
archived_files:3-5,status:success | tokens:available,63,1.0,1.0,1.0
tokens:available,archived_files:3-5 | status:success,63,1.0,1.0,1.0
archived_files:3-5 | timeout:false,token_total:>=10k,63,1.0,1.0,1.0
timeout:false | token_total:>=10k,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | token_total:>=10k,timeout:false,63,1.0,1.0,1.0
timeout:false,archived_files:3-5 | token_total:>=10k,63,1.0,1.0,1.0
archived_files:3-5,timeout:false | token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,archived_files:3-5 | timeout:false,63,1.0,1.0,1.0
archived_files:3-5 | timeout:false,tokens:available,63,1.0,1.0,1.0
timeout:false | tokens:available,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5 | tokens:available,timeout:false,63,1.0,1.0,1.0
timeout:false,archived_files:3-5 | tokens:available,63,1.0,1.0,1.0
archived_files:3-5,timeout:false | tokens:available,63,1.0,1.0,1.0
tokens:available,archived_files:3-5 | timeout:false,63,1.0,1.0,1.0
archived_files:3-5 | token_total:>=10k,tokens:available,63,1.0,1.0,1.0
archived_files:3-5 | tokens:available,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k | tokens:available,archived_files:3-5,63,1.0,1.0,1.0
archived_files:3-5,token_total:>=10k | tokens:available,63,1.0,1.0,1.0
token_total:>=10k,archived_files:3-5 | tokens:available,63,1.0,1.0,1.0
tokens:available,archived_files:3-5 | token_total:>=10k,63,1.0,1.0,1.0
deliverables:present | timeout:false,status:success,63,1.0,1.0,1.0
status:success | timeout:false,deliverables:present,63,1.0,1.0,1.0
deliverables:present | status:success,timeout:false,63,1.0,1.0,1.0
timeout:false,deliverables:present | status:success,63,1.0,1.0,1.0
deliverables:present,status:success | timeout:false,63,1.0,1.0,1.0
status:success,deliverables:present | timeout:false,63,1.0,1.0,1.0
deliverables:present | status:success,token_total:>=10k,63,1.0,1.0,1.0
status:success | token_total:>=10k,deliverables:present,63,1.0,1.0,1.0
deliverables:present | token_total:>=10k,status:success,63,1.0,1.0,1.0
status:success,deliverables:present | token_total:>=10k,63,1.0,1.0,1.0
deliverables:present,status:success | token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,deliverables:present | status:success,63,1.0,1.0,1.0
deliverables:present | status:success,tokens:available,63,1.0,1.0,1.0
status:success | tokens:available,deliverables:present,63,1.0,1.0,1.0
deliverables:present | tokens:available,status:success,63,1.0,1.0,1.0
status:success,deliverables:present | tokens:available,63,1.0,1.0,1.0
deliverables:present,status:success | tokens:available,63,1.0,1.0,1.0
tokens:available,deliverables:present | status:success,63,1.0,1.0,1.0
deliverables:present | timeout:false,token_total:>=10k,63,1.0,1.0,1.0
timeout:false | token_total:>=10k,deliverables:present,63,1.0,1.0,1.0
deliverables:present | token_total:>=10k,timeout:false,63,1.0,1.0,1.0
timeout:false,deliverables:present | token_total:>=10k,63,1.0,1.0,1.0
deliverables:present,timeout:false | token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,deliverables:present | timeout:false,63,1.0,1.0,1.0
deliverables:present | timeout:false,tokens:available,63,1.0,1.0,1.0
timeout:false | tokens:available,deliverables:present,63,1.0,1.0,1.0
deliverables:present | tokens:available,timeout:false,63,1.0,1.0,1.0
timeout:false,deliverables:present | tokens:available,63,1.0,1.0,1.0
deliverables:present,timeout:false | tokens:available,63,1.0,1.0,1.0
tokens:available,deliverables:present | timeout:false,63,1.0,1.0,1.0
deliverables:present | token_total:>=10k,tokens:available,63,1.0,1.0,1.0
deliverables:present | tokens:available,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k | tokens:available,deliverables:present,63,1.0,1.0,1.0
deliverables:present,token_total:>=10k | tokens:available,63,1.0,1.0,1.0
token_total:>=10k,deliverables:present | tokens:available,63,1.0,1.0,1.0
tokens:available,deliverables:present | token_total:>=10k,63,1.0,1.0,1.0
status:success | timeout:false,token_total:>=10k,63,1.0,1.0,1.0
status:success | token_total:>=10k,timeout:false,63,1.0,1.0,1.0
timeout:false | token_total:>=10k,status:success,63,1.0,1.0,1.0
status:success,timeout:false | token_total:>=10k,63,1.0,1.0,1.0
timeout:false,status:success | token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k,status:success | timeout:false,63,1.0,1.0,1.0
status:success | timeout:false,tokens:available,63,1.0,1.0,1.0
status:success | tokens:available,timeout:false,63,1.0,1.0,1.0
timeout:false | tokens:available,status:success,63,1.0,1.0,1.0
status:success,timeout:false | tokens:available,63,1.0,1.0,1.0
timeout:false,status:success | tokens:available,63,1.0,1.0,1.0
tokens:available,status:success | timeout:false,63,1.0,1.0,1.0
status:success | token_total:>=10k,tokens:available,63,1.0,1.0,1.0
status:success | tokens:available,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k | tokens:available,status:success,63,1.0,1.0,1.0
status:success,token_total:>=10k | tokens:available,63,1.0,1.0,1.0
token_total:>=10k,status:success | tokens:available,63,1.0,1.0,1.0
tokens:available,status:success | token_total:>=10k,63,1.0,1.0,1.0
timeout:false | token_total:>=10k,tokens:available,63,1.0,1.0,1.0
timeout:false | tokens:available,token_total:>=10k,63,1.0,1.0,1.0
token_total:>=10k | tokens:available,timeout:false,63,1.0,1.0,1.0
timeout:false,token_total:>=10k | tokens:available,63,1.0,1.0,1.0
token_total:>=10k,timeout:false | tokens:available,63,1.0,1.0,1.0
tokens:available,timeout:false | token_total:>=10k,63,1.0,1.0,1.0
elapsed:1-5m,archived_files:3-5,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,deliverables:present,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,timeout:false,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,tokens:available,50,0.7936507936507936,1.0,1.0
deliverables:present | elapsed:1-5m,archived_files:3-5,50,0.7936507936507936,1.0,1.0
archived_files:3-5 | elapsed:1-5m,deliverables:present,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,archived_files:3-5 | deliverables:present,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | status:success,archived_files:3-5,50,0.7936507936507936,1.0,1.0
archived_files:3-5 | elapsed:1-5m,status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,archived_files:3-5 | status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | timeout:false,archived_files:3-5,50,0.7936507936507936,1.0,1.0
archived_files:3-5 | elapsed:1-5m,timeout:false,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,archived_files:3-5 | timeout:false,50,0.7936507936507936,1.0,1.0
archived_files:3-5 | elapsed:1-5m,token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | token_total:>=10k,archived_files:3-5,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,archived_files:3-5 | token_total:>=10k,50,0.7936507936507936,1.0,1.0
archived_files:3-5 | elapsed:1-5m,tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | tokens:available,archived_files:3-5,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,archived_files:3-5 | tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | status:success,deliverables:present,50,0.7936507936507936,1.0,1.0
deliverables:present | elapsed:1-5m,status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,deliverables:present | status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | timeout:false,deliverables:present,50,0.7936507936507936,1.0,1.0
deliverables:present | elapsed:1-5m,timeout:false,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,deliverables:present | timeout:false,50,0.7936507936507936,1.0,1.0
deliverables:present | elapsed:1-5m,token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | token_total:>=10k,deliverables:present,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,deliverables:present | token_total:>=10k,50,0.7936507936507936,1.0,1.0
deliverables:present | elapsed:1-5m,tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | tokens:available,deliverables:present,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,deliverables:present | tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | timeout:false,status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | status:success,timeout:false,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,status:success | timeout:false,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | status:success,token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | token_total:>=10k,status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,status:success | token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | status:success,tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | tokens:available,status:success,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,status:success | tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | timeout:false,token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | token_total:>=10k,timeout:false,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,timeout:false | token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | timeout:false,tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | tokens:available,timeout:false,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,timeout:false | tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | token_total:>=10k,tokens:available,50,0.7936507936507936,1.0,1.0
elapsed:1-5m | tokens:available,token_total:>=10k,50,0.7936507936507936,1.0,1.0
elapsed:1-5m,token_total:>=10k | tokens:available,50,0.7936507936507936,1.0,1.0
cache_tokens:available,archived_files:3-5,42,0.6666666666666666,1.0,1.0
cache_tokens:available,deliverables:present,42,0.6666666666666666,1.0,1.0
cache_tokens:available,status:success,42,0.6666666666666666,1.0,1.0
cache_tokens:available,timeout:false,42,0.6666666666666666,1.0,1.0
cache_tokens:available,token_total:>=10k,42,0.6666666666666666,1.0,1.0
cache_tokens:available,tokens:available,42,0.6666666666666666,1.0,1.0
cache_tokens:available | deliverables:present,archived_files:3-5,42,0.6666666666666666,1.0,1.0
archived_files:3-5 | cache_tokens:available,deliverables:present,42,0.6666666666666666,1.0,1.0
