items,size,support_count,support
archived_files:3-5 | elapsed:1-5m | timeout:false,3,50,0.7936507936507936
archived_files:3-5 | elapsed:1-5m | token_total:>=10k,3,50,0.7936507936507936
archived_files:3-5 | elapsed:1-5m | tokens:available,3,50,0.7936507936507936
deliverables:present | elapsed:1-5m | status:success,3,50,0.7936507936507936
deliverables:present | elapsed:1-5m | timeout:false,3,50,0.7936507936507936
deliverables:present | elapsed:1-5m | token_total:>=10k,3,50,0.7936507936507936
deliverables:present | elapsed:1-5m | tokens:available,3,50,0.7936507936507936
elapsed:1-5m | status:success | timeout:false,3,50,0.7936507936507936
elapsed:1-5m | status:success | token_total:>=10k,3,50,0.7936507936507936
elapsed:1-5m | status:success | tokens:available,3,50,0.7936507936507936
elapsed:1-5m | timeout:false | token_total:>=10k,3,50,0.7936507936507936
elapsed:1-5m | timeout:false | tokens:available,3,50,0.7936507936507936
elapsed:1-5m | token_total:>=10k | tokens:available,3,50,0.7936507936507936
cache_tokens:available,1,42,0.6666666666666666
archived_files:3-5 | cache_tokens:available,2,42,0.6666666666666666
cache_tokens:available | deliverables:present,2,42,0.6666666666666666
cache_tokens:available | status:success,2,42,0.6666666666666666
cache_tokens:available | timeout:false,2,42,0.6666666666666666
cache_tokens:available | token_total:>=10k,2,42,0.6666666666666666
cache_tokens:available | tokens:available,2,42,0.6666666666666666
archived_files:3-5 | cache_tokens:available | deliverables:present,3,42,0.6666666666666666
archived_files:3-5 | cache_tokens:available | status:success,3,42,0.6666666666666666
archived_files:3-5 | cache_tokens:available | timeout:false,3,42,0.6666666666666666
archived_files:3-5 | cache_tokens:available | token_total:>=10k,3,42,0.6666666666666666
archived_files:3-5 | cache_tokens:available | tokens:available,3,42,0.6666666666666666
cache_tokens:available | deliverables:present | status:success,3,42,0.6666666666666666
cache_tokens:available | deliverables:present | timeout:false,3,42,0.6666666666666666
cache_tokens:available | deliverables:present | token_total:>=10k,3,42,0.6666666666666666
cache_tokens:available | deliverables:present | tokens:available,3,42,0.6666666666666666
cache_tokens:available | status:success | timeout:false,3,42,0.6666666666666666
cache_tokens:available | status:success | token_total:>=10k,3,42,0.6666666666666666
cache_tokens:available | status:success | tokens:available,3,42,0.6666666666666666
cache_tokens:available | timeout:false | token_total:>=10k,3,42,0.6666666666666666
cache_tokens:available | timeout:false | tokens:available,3,42,0.6666666666666666
cache_tokens:available | token_total:>=10k | tokens:available,3,42,0.6666666666666666
cache_tokens:available | elapsed:1-5m,2,35,0.5555555555555556
archived_files:3-5 | cache_tokens:available | elapsed:1-5m,3,35,0.5555555555555556
cache_tokens:available | deliverables:present | elapsed:1-5m,3,35,0.5555555555555556
cache_tokens:available | elapsed:1-5m | status:success,3,35,0.5555555555555556
cache_tokens:available | elapsed:1-5m | timeout:false,3,35,0.5555555555555556
cache_tokens:available | elapsed:1-5m | token_total:>=10k,3,35,0.5555555555555556
cache_tokens:available | elapsed:1-5m | tokens:available,3,35,0.5555555555555556
track:smoke,1,27,0.42857142857142855
archived_files:3-5 | track:smoke,2,27,0.42857142857142855
deliverables:present | track:smoke,2,27,0.42857142857142855
status:success | track:smoke,2,27,0.42857142857142855
timeout:false | track:smoke,2,27,0.42857142857142855
token_total:>=10k | track:smoke,2,27,0.42857142857142855
tokens:available | track:smoke,2,27,0.42857142857142855
archived_files:3-5 | deliverables:present | track:smoke,3,27,0.42857142857142855
archived_files:3-5 | status:success | track:smoke,3,27,0.42857142857142855
archived_files:3-5 | timeout:false | track:smoke,3,27,0.42857142857142855
archived_files:3-5 | token_total:>=10k | track:smoke,3,27,0.42857142857142855
archived_files:3-5 | tokens:available | track:smoke,3,27,0.42857142857142855
deliverables:present | status:success | track:smoke,3,27,0.42857142857142855
deliverables:present | timeout:false | track:smoke,3,27,0.42857142857142855
deliverables:present | token_total:>=10k | track:smoke,3,27,0.42857142857142855
deliverables:present | tokens:available | track:smoke,3,27,0.42857142857142855
status:success | timeout:false | track:smoke,3,27,0.42857142857142855
status:success | token_total:>=10k | track:smoke,3,27,0.42857142857142855
status:success | tokens:available | track:smoke,3,27,0.42857142857142855
timeout:false | token_total:>=10k | track:smoke,3,27,0.42857142857142855
timeout:false | tokens:available | track:smoke,3,27,0.42857142857142855
token_total:>=10k | tokens:available | track:smoke,3,27,0.42857142857142855
harness:bdi,1,21,0.3333333333333333
harness:codex,1,21,0.3333333333333333
harness:opencode,1,21,0.3333333333333333
llm_calls:1-2,1,21,0.3333333333333333
llm_calls:>5,1,21,0.3333333333333333
archived_files:3-5 | harness:bdi,2,21,0.3333333333333333
archived_files:3-5 | harness:codex,2,21,0.3333333333333333
archived_files:3-5 | harness:opencode,2,21,0.3333333333333333
archived_files:3-5 | llm_calls:1-2,2,21,0.3333333333333333
archived_files:3-5 | llm_calls:>5,2,21,0.3333333333333333
cache_tokens:available | harness:bdi,2,21,0.3333333333333333
cache_tokens:available | harness:codex,2,21,0.3333333333333333
cache_tokens:available | llm_calls:1-2,2,21,0.3333333333333333
deliverables:present | harness:bdi,2,21,0.3333333333333333
deliverables:present | harness:codex,2,21,0.3333333333333333
deliverables:present | harness:opencode,2,21,0.3333333333333333
deliverables:present | llm_calls:1-2,2,21,0.3333333333333333
deliverables:present | llm_calls:>5,2,21,0.3333333333333333
elapsed:1-5m | harness:bdi,2,21,0.3333333333333333
harness:bdi | status:success,2,21,0.3333333333333333
harness:bdi | timeout:false,2,21,0.3333333333333333
harness:bdi | token_total:>=10k,2,21,0.3333333333333333
harness:bdi | tokens:available,2,21,0.3333333333333333
harness:codex | llm_calls:1-2,2,21,0.3333333333333333
harness:codex | status:success,2,21,0.3333333333333333
harness:codex | timeout:false,2,21,0.3333333333333333
harness:codex | token_total:>=10k,2,21,0.3333333333333333
harness:codex | tokens:available,2,21,0.3333333333333333
harness:opencode | llm_calls:>5,2,21,0.3333333333333333
harness:opencode | status:success,2,21,0.3333333333333333
harness:opencode | timeout:false,2,21,0.3333333333333333
harness:opencode | token_total:>=10k,2,21,0.3333333333333333
harness:opencode | tokens:available,2,21,0.3333333333333333
llm_calls:1-2 | status:success,2,21,0.3333333333333333
llm_calls:1-2 | timeout:false,2,21,0.3333333333333333
llm_calls:1-2 | token_total:>=10k,2,21,0.3333333333333333
llm_calls:1-2 | tokens:available,2,21,0.3333333333333333
llm_calls:>5 | status:success,2,21,0.3333333333333333
llm_calls:>5 | timeout:false,2,21,0.3333333333333333
llm_calls:>5 | token_total:>=10k,2,21,0.3333333333333333
llm_calls:>5 | tokens:available,2,21,0.3333333333333333
archived_files:3-5 | cache_tokens:available | harness:bdi,3,21,0.3333333333333333
archived_files:3-5 | cache_tokens:available | harness:codex,3,21,0.3333333333333333
archived_files:3-5 | cache_tokens:available | llm_calls:1-2,3,21,0.3333333333333333
archived_files:3-5 | deliverables:present | harness:bdi,3,21,0.3333333333333333
archived_files:3-5 | deliverables:present | harness:codex,3,21,0.3333333333333333
archived_files:3-5 | deliverables:present | harness:opencode,3,21,0.3333333333333333
archived_files:3-5 | deliverables:present | llm_calls:1-2,3,21,0.3333333333333333
archived_files:3-5 | deliverables:present | llm_calls:>5,3,21,0.3333333333333333
archived_files:3-5 | elapsed:1-5m | harness:bdi,3,21,0.3333333333333333
archived_files:3-5 | harness:bdi | status:success,3,21,0.3333333333333333
archived_files:3-5 | harness:bdi | timeout:false,3,21,0.3333333333333333
archived_files:3-5 | harness:bdi | token_total:>=10k,3,21,0.3333333333333333
archived_files:3-5 | harness:bdi | tokens:available,3,21,0.3333333333333333
archived_files:3-5 | harness:codex | llm_calls:1-2,3,21,0.3333333333333333
archived_files:3-5 | harness:codex | status:success,3,21,0.3333333333333333
archived_files:3-5 | harness:codex | timeout:false,3,21,0.3333333333333333
archived_files:3-5 | harness:codex | token_total:>=10k,3,21,0.3333333333333333
archived_files:3-5 | harness:codex | tokens:available,3,21,0.3333333333333333
archived_files:3-5 | harness:opencode | llm_calls:>5,3,21,0.3333333333333333
archived_files:3-5 | harness:opencode | status:success,3,21,0.3333333333333333
archived_files:3-5 | harness:opencode | timeout:false,3,21,0.3333333333333333
archived_files:3-5 | harness:opencode | token_total:>=10k,3,21,0.3333333333333333
archived_files:3-5 | harness:opencode | tokens:available,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:1-2 | status:success,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:1-2 | timeout:false,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:1-2 | token_total:>=10k,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:1-2 | tokens:available,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:>5 | status:success,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:>5 | timeout:false,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:>5 | token_total:>=10k,3,21,0.3333333333333333
archived_files:3-5 | llm_calls:>5 | tokens:available,3,21,0.3333333333333333
cache_tokens:available | deliverables:present | harness:bdi,3,21,0.3333333333333333
cache_tokens:available | deliverables:present | harness:codex,3,21,0.3333333333333333
cache_tokens:available | deliverables:present | llm_calls:1-2,3,21,0.3333333333333333
cache_tokens:available | elapsed:1-5m | harness:bdi,3,21,0.3333333333333333
cache_tokens:available | harness:bdi | status:success,3,21,0.3333333333333333
cache_tokens:available | harness:bdi | timeout:false,3,21,0.3333333333333333
cache_tokens:available | harness:bdi | token_total:>=10k,3,21,0.3333333333333333
cache_tokens:available | harness:bdi | tokens:available,3,21,0.3333333333333333
cache_tokens:available | harness:codex | llm_calls:1-2,3,21,0.3333333333333333
cache_tokens:available | harness:codex | status:success,3,21,0.3333333333333333
cache_tokens:available | harness:codex | timeout:false,3,21,0.3333333333333333
cache_tokens:available | harness:codex | token_total:>=10k,3,21,0.3333333333333333
cache_tokens:available | harness:codex | tokens:available,3,21,0.3333333333333333
cache_tokens:available | llm_calls:1-2 | status:success,3,21,0.3333333333333333
cache_tokens:available | llm_calls:1-2 | timeout:false,3,21,0.3333333333333333
cache_tokens:available | llm_calls:1-2 | token_total:>=10k,3,21,0.3333333333333333
cache_tokens:available | llm_calls:1-2 | tokens:available,3,21,0.3333333333333333
deliverables:present | elapsed:1-5m | harness:bdi,3,21,0.3333333333333333
deliverables:present | harness:bdi | status:success,3,21,0.3333333333333333
deliverables:present | harness:bdi | timeout:false,3,21,0.3333333333333333
deliverables:present | harness:bdi | token_total:>=10k,3,21,0.3333333333333333
deliverables:present | harness:bdi | tokens:available,3,21,0.3333333333333333
deliverables:present | harness:codex | llm_calls:1-2,3,21,0.3333333333333333
deliverables:present | harness:codex | status:success,3,21,0.3333333333333333
deliverables:present | harness:codex | timeout:false,3,21,0.3333333333333333
deliverables:present | harness:codex | token_total:>=10k,3,21,0.3333333333333333
deliverables:present | harness:codex | tokens:available,3,21,0.3333333333333333
deliverables:present | harness:opencode | llm_calls:>5,3,21,0.3333333333333333
deliverables:present | harness:opencode | status:success,3,21,0.3333333333333333
deliverables:present | harness:opencode | timeout:false,3,21,0.3333333333333333
deliverables:present | harness:opencode | token_total:>=10k,3,21,0.3333333333333333
deliverables:present | harness:opencode | tokens:available,3,21,0.3333333333333333
deliverables:present | llm_calls:1-2 | status:success,3,21,0.3333333333333333
deliverables:present | llm_calls:1-2 | timeout:false,3,21,0.3333333333333333
deliverables:present | llm_calls:1-2 | token_total:>=10k,3,21,0.3333333333333333
deliverables:present | llm_calls:1-2 | tokens:available,3,21,0.3333333333333333
deliverables:present | llm_calls:>5 | status:success,3,21,0.3333333333333333
deliverables:present | llm_calls:>5 | timeout:false,3,21,0.3333333333333333
deliverables:present | llm_calls:>5 | token_total:>=10k,3,21,0.3333333333333333
deliverables:present | llm_calls:>5 | tokens:available,3,21,0.3333333333333333
elapsed:1-5m | harness:bdi | status:success,3,21,0.3333333333333333
elapsed:1-5m | harness:bdi | timeout:false,3,21,0.3333333333333333
elapsed:1-5m | harness:bdi | token_total:>=10k,3,21,0.3333333333333333
elapsed:1-5m | harness:bdi | tokens:available,3,21,0.3333333333333333
harness:bdi | status:success | timeout:false,3,21,0.3333333333333333
harness:bdi | status:success | token_total:>=10k,3,21,0.3333333333333333
harness:bdi | status:success | tokens:available,3,21,0.3333333333333333
harness:bdi | timeout:false | token_total:>=10k,3,21,0.3333333333333333
harness:bdi | timeout:false | tokens:available,3,21,0.3333333333333333
harness:bdi | token_total:>=10k | tokens:available,3,21,0.3333333333333333
harness:codex | llm_calls:1-2 | status:success,3,21,0.3333333333333333
harness:codex | llm_calls:1-2 | timeout:false,3,21,0.3333333333333333
harness:codex | llm_calls:1-2 | token_total:>=10k,3,21,0.3333333333333333
harness:codex | llm_calls:1-2 | tokens:available,3,21,0.3333333333333333
harness:codex | status:success | timeout:false,3,21,0.3333333333333333
harness:codex | status:success | token_total:>=10k,3,21,0.3333333333333333
harness:codex | status:success | tokens:available,3,21,0.3333333333333333
harness:codex | timeout:false | token_total:>=10k,3,21,0.3333333333333333
harness:codex | timeout:false | tokens:available,3,21,0.3333333333333333
harness:codex | token_total:>=10k | tokens:available,3,21,0.3333333333333333
harness:opencode | llm_calls:>5 | status:success,3,21,0.3333333333333333
harness:opencode | llm_calls:>5 | timeout:false,3,21,0.3333333333333333
harness:opencode | llm_calls:>5 | token_total:>=10k,3,21,0.3333333333333333
harness:opencode | llm_calls:>5 | tokens:available,3,21,0.3333333333333333
harness:opencode | status:success | timeout:false,3,21,0.3333333333333333
harness:opencode | status:success | token_total:>=10k,3,21,0.3333333333333333
harness:opencode | status:success | tokens:available,3,21,0.3333333333333333
harness:opencode | timeout:false | token_total:>=10k,3,21,0.3333333333333333
harness:opencode | timeout:false | tokens:available,3,21,0.3333333333333333
harness:opencode | token_total:>=10k | tokens:available,3,21,0.3333333333333333
llm_calls:1-2 | status:success | timeout:false,3,21,0.3333333333333333
llm_calls:1-2 | status:success | token_total:>=10k,3,21,0.3333333333333333
llm_calls:1-2 | status:success | tokens:available,3,21,0.3333333333333333
llm_calls:1-2 | timeout:false | token_total:>=10k,3,21,0.3333333333333333
llm_calls:1-2 | timeout:false | tokens:available,3,21,0.3333333333333333
llm_calls:1-2 | token_total:>=10k | tokens:available,3,21,0.3333333333333333
llm_calls:>5 | status:success | timeout:false,3,21,0.3333333333333333
llm_calls:>5 | status:success | token_total:>=10k,3,21,0.3333333333333333
llm_calls:>5 | status:success | tokens:available,3,21,0.3333333333333333
llm_calls:>5 | timeout:false | token_total:>=10k,3,21,0.3333333333333333
llm_calls:>5 | timeout:false | tokens:available,3,21,0.3333333333333333
llm_calls:>5 | token_total:>=10k | tokens:available,3,21,0.3333333333333333
cache_tokens:available | track:smoke,2,18,0.2857142857142857
elapsed:1-5m | track:smoke,2,18,0.2857142857142857
archived_files:3-5 | cache_tokens:available | track:smoke,3,18,0.2857142857142857
archived_files:3-5 | elapsed:1-5m | track:smoke,3,18,0.2857142857142857
cache_tokens:available | deliverables:present | track:smoke,3,18,0.2857142857142857
cache_tokens:available | status:success | track:smoke,3,18,0.2857142857142857
cache_tokens:available | timeout:false | track:smoke,3,18,0.2857142857142857
cache_tokens:available | token_total:>=10k | track:smoke,3,18,0.2857142857142857
cache_tokens:available | tokens:available | track:smoke,3,18,0.2857142857142857
deliverables:present | elapsed:1-5m | track:smoke,3,18,0.2857142857142857
elapsed:1-5m | status:success | track:smoke,3,18,0.2857142857142857
elapsed:1-5m | timeout:false | track:smoke,3,18,0.2857142857142857
elapsed:1-5m | token_total:>=10k | track:smoke,3,18,0.2857142857142857
elapsed:1-5m | tokens:available | track:smoke,3,18,0.2857142857142857
elapsed:1-5m | harness:opencode,2,15,0.23809523809523808
elapsed:1-5m | llm_calls:>5,2,15,0.23809523809523808
archived_files:3-5 | elapsed:1-5m | harness:opencode,3,15,0.23809523809523808
archived_files:3-5 | elapsed:1-5m | llm_calls:>5,3,15,0.23809523809523808
deliverables:present | elapsed:1-5m | harness:opencode,3,15,0.23809523809523808
deliverables:present | elapsed:1-5m | llm_calls:>5,3,15,0.23809523809523808
elapsed:1-5m | harness:opencode | llm_calls:>5,3,15,0.23809523809523808
elapsed:1-5m | harness:opencode | status:success,3,15,0.23809523809523808
elapsed:1-5m | harness:opencode | timeout:false,3,15,0.23809523809523808
elapsed:1-5m | harness:opencode | token_total:>=10k,3,15,0.23809523809523808
elapsed:1-5m | harness:opencode | tokens:available,3,15,0.23809523809523808
elapsed:1-5m | llm_calls:>5 | status:success,3,15,0.23809523809523808
elapsed:1-5m | llm_calls:>5 | timeout:false,3,15,0.23809523809523808
elapsed:1-5m | llm_calls:>5 | token_total:>=10k,3,15,0.23809523809523808
elapsed:1-5m | llm_calls:>5 | tokens:available,3,15,0.23809523809523808
elapsed:1-5m | harness:codex,2,14,0.2222222222222222
elapsed:1-5m | llm_calls:1-2,2,14,0.2222222222222222
archived_files:3-5 | elapsed:1-5m | harness:codex,3,14,0.2222222222222222
archived_files:3-5 | elapsed:1-5m | llm_calls:1-2,3,14,0.2222222222222222
cache_tokens:available | elapsed:1-5m | harness:codex,3,14,0.2222222222222222
cache_tokens:available | elapsed:1-5m | llm_calls:1-2,3,14,0.2222222222222222
deliverables:present | elapsed:1-5m | harness:codex,3,14,0.2222222222222222
deliverables:present | elapsed:1-5m | llm_calls:1-2,3,14,0.2222222222222222
elapsed:1-5m | harness:codex | llm_calls:1-2,3,14,0.2222222222222222
elapsed:1-5m | harness:codex | status:success,3,14,0.2222222222222222
elapsed:1-5m | harness:codex | timeout:false,3,14,0.2222222222222222
elapsed:1-5m | harness:codex | token_total:>=10k,3,14,0.2222222222222222
elapsed:1-5m | harness:codex | tokens:available,3,14,0.2222222222222222
elapsed:1-5m | llm_calls:1-2 | status:success,3,14,0.2222222222222222
elapsed:1-5m | llm_calls:1-2 | timeout:false,3,14,0.2222222222222222
elapsed:1-5m | llm_calls:1-2 | token_total:>=10k,3,14,0.2222222222222222
elapsed:1-5m | llm_calls:1-2 | tokens:available,3,14,0.2222222222222222
elapsed:<1m,1,13,0.20634920634920634
archived_files:3-5 | elapsed:<1m,2,13,0.20634920634920634
deliverables:present | elapsed:<1m,2,13,0.20634920634920634
elapsed:<1m | status:success,2,13,0.20634920634920634
elapsed:<1m | timeout:false,2,13,0.20634920634920634
elapsed:<1m | token_total:>=10k,2,13,0.20634920634920634
elapsed:<1m | tokens:available,2,13,0.20634920634920634
archived_files:3-5 | deliverables:present | elapsed:<1m,3,13,0.20634920634920634
archived_files:3-5 | elapsed:<1m | status:success,3,13,0.20634920634920634
archived_files:3-5 | elapsed:<1m | timeout:false,3,13,0.20634920634920634
archived_files:3-5 | elapsed:<1m | token_total:>=10k,3,13,0.20634920634920634
archived_files:3-5 | elapsed:<1m | tokens:available,3,13,0.20634920634920634
deliverables:present | elapsed:<1m | status:success,3,13,0.20634920634920634
deliverables:present | elapsed:<1m | timeout:false,3,13,0.20634920634920634
deliverables:present | elapsed:<1m | token_total:>=10k,3,13,0.20634920634920634
deliverables:present | elapsed:<1m | tokens:available,3,13,0.20634920634920634
elapsed:<1m | status:success | timeout:false,3,13,0.20634920634920634
elapsed:<1m | status:success | token_total:>=10k,3,13,0.20634920634920634
elapsed:<1m | status:success | tokens:available,3,13,0.20634920634920634
elapsed:<1m | timeout:false | token_total:>=10k,3,13,0.20634920634920634
elapsed:<1m | timeout:false | tokens:available,3,13,0.20634920634920634
elapsed:<1m | token_total:>=10k | tokens:available,3,13,0.20634920634920634
