items,size,support_count,support
track:replanning,1,9,0.14285714285714285
cache_tokens:available | token_total:10k-25k,2,9,0.14285714285714285
elapsed:1-1.5m | token_total:50k-100k,2,9,0.14285714285714285
elapsed:1.5-2m | token_total:25k-50k,2,9,0.14285714285714285
elapsed:<1m | track:smoke,2,9,0.14285714285714285
harness:bdi | token_total:10k-25k,2,9,0.14285714285714285
harness:bdi | track:smoke,2,9,0.14285714285714285
harness:codex | track:smoke,2,9,0.14285714285714285
harness:opencode | track:smoke,2,9,0.14285714285714285
llm_calls:1-2 | track:smoke,2,9,0.14285714285714285
llm_calls:>5 | track:smoke,2,9,0.14285714285714285
task:clinic_rollout_plan | track:long_context,2,9,0.14285714285714285
task:community_workshop_replan | track:replanning,2,9,0.14285714285714285
task:grant_closeout_recovery | track:recovery,2,9,0.14285714285714285
task:incident_staffing_plan | track:smoke,2,9,0.14285714285714285
task:shelter_restock_scope | track:distractor_goal,2,9,0.14285714285714285
task:travel_reimbursement_audit | track:smoke,2,9,0.14285714285714285
task:vendor_selection | track:smoke,2,9,0.14285714285714285
token_total:50k-100k | track:smoke,2,9,0.14285714285714285
cache_tokens:available | elapsed:1-1.5m | token_total:50k-100k,3,9,0.14285714285714285
cache_tokens:available | harness:bdi | token_total:10k-25k,3,9,0.14285714285714285
cache_tokens:available | harness:bdi | track:smoke,3,9,0.14285714285714285
cache_tokens:available | harness:codex | track:smoke,3,9,0.14285714285714285
cache_tokens:available | llm_calls:1-2 | track:smoke,3,9,0.14285714285714285
cache_tokens:available | token_total:50k-100k | track:smoke,3,9,0.14285714285714285
elapsed:1-1.5m | harness:codex | token_total:50k-100k,3,9,0.14285714285714285
elapsed:1-1.5m | harness:opencode | token_total:10k-25k,3,9,0.14285714285714285
elapsed:1-1.5m | llm_calls:1-2 | token_total:50k-100k,3,9,0.14285714285714285
elapsed:1-1.5m | llm_calls:>5 | token_total:10k-25k,3,9,0.14285714285714285
harness:codex | llm_calls:1-2 | track:smoke,3,9,0.14285714285714285
harness:codex | token_total:50k-100k | track:smoke,3,9,0.14285714285714285
harness:opencode | llm_calls:>5 | track:smoke,3,9,0.14285714285714285
llm_calls:1-2 | token_total:50k-100k | track:smoke,3,9,0.14285714285714285
tool_calls:3-5,1,8,0.12698412698412698
cache_tokens:available | elapsed:1.5-2m,2,8,0.12698412698412698
cache_tokens:available | tool_calls:3-5,2,8,0.12698412698412698
elapsed:1-1.5m | harness:bdi,2,8,0.12698412698412698
elapsed:1-1.5m | task:grant_closeout_recovery,2,8,0.12698412698412698
elapsed:1-1.5m | track:recovery,2,8,0.12698412698412698
harness:bdi | tool_calls:3-5,2,8,0.12698412698412698
cache_tokens:available | elapsed:1-1.5m | harness:bdi,3,8,0.12698412698412698
cache_tokens:available | elapsed:1-1.5m | token_total:10k-25k,3,8,0.12698412698412698
cache_tokens:available | harness:bdi | tool_calls:3-5,3,8,0.12698412698412698
elapsed:1-1.5m | harness:bdi | token_total:10k-25k,3,8,0.12698412698412698
elapsed:1-1.5m | task:grant_closeout_recovery | track:recovery,3,8,0.12698412698412698
elapsed:1-1.5m | token_total:10k-25k | track:smoke,3,8,0.12698412698412698
harness:opencode | token_total:10k-25k | track:smoke,3,8,0.12698412698412698
llm_calls:>5 | token_total:10k-25k | track:smoke,3,8,0.12698412698412698
cache_tokens:available | elapsed:<1m,2,7,0.1111111111111111
elapsed:1-1.5m | tool_calls:3-5,2,7,0.1111111111111111
elapsed:1.5-2m | harness:bdi,2,7,0.1111111111111111
elapsed:<1m | harness:codex,2,7,0.1111111111111111
elapsed:<1m | llm_calls:1-2,2,7,0.1111111111111111
elapsed:<1m | token_total:50k-100k,2,7,0.1111111111111111
token_total:10k-25k | tool_calls:3-5,2,7,0.1111111111111111
token_total:25k-50k | track:smoke,2,7,0.1111111111111111
cache_tokens:available | elapsed:1-1.5m | tool_calls:3-5,3,7,0.1111111111111111
cache_tokens:available | elapsed:1.5-2m | harness:bdi,3,7,0.1111111111111111
cache_tokens:available | elapsed:1.5-2m | token_total:25k-50k,3,7,0.1111111111111111
cache_tokens:available | elapsed:<1m | harness:codex,3,7,0.1111111111111111
cache_tokens:available | elapsed:<1m | llm_calls:1-2,3,7,0.1111111111111111
cache_tokens:available | elapsed:<1m | token_total:50k-100k,3,7,0.1111111111111111
cache_tokens:available | elapsed:<1m | track:smoke,3,7,0.1111111111111111
cache_tokens:available | token_total:10k-25k | tool_calls:3-5,3,7,0.1111111111111111
elapsed:1-1.5m | harness:bdi | tool_calls:3-5,3,7,0.1111111111111111
elapsed:1-1.5m | token_total:10k-25k | tool_calls:3-5,3,7,0.1111111111111111
elapsed:1.5-2m | harness:bdi | token_total:25k-50k,3,7,0.1111111111111111
elapsed:<1m | harness:codex | llm_calls:1-2,3,7,0.1111111111111111
elapsed:<1m | harness:codex | token_total:50k-100k,3,7,0.1111111111111111
elapsed:<1m | harness:codex | track:smoke,3,7,0.1111111111111111
elapsed:<1m | llm_calls:1-2 | token_total:50k-100k,3,7,0.1111111111111111
elapsed:<1m | llm_calls:1-2 | track:smoke,3,7,0.1111111111111111
elapsed:<1m | token_total:50k-100k | track:smoke,3,7,0.1111111111111111
harness:bdi | token_total:10k-25k | tool_calls:3-5,3,7,0.1111111111111111
